Instance,N,BKS,BKS_norm,greedy,beam_10,beam_100,beam_1000,beam_5000,beam_1000_temp1.5,beam_1000_temp2.0,beam_1000_temp3.0,sampling_1000,sampling_100000,sampling_10000_temp1.5,sampling_10000_temp2.0,sampling_10000_temp3.0,Best,Gap_percent
X-n110-k13,109,14971.0,15.19,84.18,64.40,61.12,60.48,60.48,60.48,60.48,60.48,53.79,51.38,52.90,52.43,52.54,51.38,238.13
X-n115-k10,114,12747.0,12.98,85.31,58.95,57.74,57.85,58.92,57.85,57.85,57.85,55.28,50.87,52.74,53.56,51.50,50.87,291.86
X-n153-k22,152,21220.0,24.37,128.23,77.51,74.64,79.46,78.55,79.46,79.46,79.46,71.88,68.01,68.91,67.33,68.70,67.33,176.26
X-n172-k51,171,45607.0,47.04,136.76,106.52,107.69,101.15,103.12,101.15,101.15,101.15,97.07,94.63,96.46,95.44,95.55,94.63,101.18
X-n120-k6,119,13332.0,13.63,171.64,70.50,82.83,66.94,66.70,70.62,70.62,70.27,61.13,55.69,59.90,60.81,59.44,55.69,308.64
X-n129-k18,128,28940.0,29.11,168.10,78.10,75.89,72.23,70.41,76.53,69.67,69.90,69.60,67.50,69.34,68.15,69.19,67.50,131.88
X-n125-k30,124,55539.0,57.20,217.98,92.86,91.17,93.75,97.21,93.09,93.37,94.43,90.87,88.62,89.28,88.74,89.08,88.62,54.92
X-n134-k13,133,10916.0,15.57,121.77,64.77,80.37,73.06,68.96,68.95,68.91,68.33,57.22,53.45,54.09,54.92,55.25,53.45,243.26
X-n344-k43,343,42050.0,42.32,265.80,187.06,244.85,189.96,188.22,189.96,189.96,189.96,178.68,172.32,175.75,175.55,177.26,172.32,307.22
X-n351-k40,350,25896.0,28.41,186.93,128.95,170.62,123.97,130.08,124.22,123.97,123.97,120.12,115.58,116.27,116.74,116.48,115.58,306.85
X-n393-k38,392,38260.0,38.73,309.12,169.81,262.13,163.38,165.04,163.38,163.38,163.38,181.29,178.48,181.72,177.39,180.74,163.38,321.85
X-n420-k130,419,107798.0,108.26,319.86,234.53,234.02,230.54,OOM,230.54,230.54,230.54,227.81,224.30,225.60,226.87,225.83,224.30,107.19
X-n376-k94,375,147713.0,147.96,559.24,291.87,487.66,288.42,288.08,288.42,288.42,288.42,274.11,267.77,271.02,271.75,273.24,267.77,80.98
X-n384-k52,383,65940.0,66.17,414.92,219.09,362.01,223.84,231.94,223.84,223.84,223.84,215.83,209.47,211.57,210.98,211.54,209.47,216.58
X-n317-k53,316,78355.0,78.49,313.08,214.24,232.62,173.31,172.31,177.08,173.87,174.12,194.35,189.21,185.47,186.65,190.72,172.31,119.54
X-n367-k17,366,22814.0,25.10,399.48,167.99,298.86,166.41,166.94,170.36,171.71,165.96,156.17,150.70,154.02,152.17,151.89,150.70,500.31
